iter	Passed	Remaining
469	729	822
470	730	820
471	731	818
472	733	816
473	734	815
474	735	812
475	736	811
476	737	809
477	739	807
478	740	805
479	741	803
480	742	801
481	743	799
482	744	797
483	746	795
484	747	794
485	749	792
486	750	790
487	751	788
488	752	786
489	753	784
490	755	782
491	756	780
492	757	778
493	758	776
494	759	774
495	760	773
496	761	771
497	763	769
498	764	767
499	765	765
500	766	763
501	767	761
502	768	759
503	770	757
504	771	756
505	772	754
506	773	752
507	774	750
508	776	749
509	777	747
510	778	745
511	780	743
512	781	741
513	782	739
514	783	737
515	784	735
516	785	734
517	786	732
518	788	730
519	789	728
520	791	727
521	792	725
522	794	724
523	795	722
524	796	720
525	797	718
526	798	717
527	799	715
528	801	713
529	802	711
530	803	709
531	804	707
532	805	705
533	806	703
534	807	701
535	808	700
536	809	698
537	810	696
538	812	694
539	813	692
540	814	691
541	815	689
542	816	687
543	818	685
544	819	684
545	820	682
546	821	680
547	822	678
548	823	676
549	824	674
550	825	672
551	826	670
552	827	668
553	828	666
554	828	664
555	830	663
556	831	661
557	832	659
558	833	657
559	834	655
560	835	653
561	836	651
562	837	649
563	838	648
564	839	646
565	840	644
566	841	642
567	842	640
568	842	638
569	843	636
570	844	634
571	845	632
572	846	630
573	847	629
574	848	627
575	849	625
576	850	623
577	851	621
578	852	620
579	853	618
580	854	616
581	855	614
582	856	612
583	857	610
584	858	609
585	859	607
586	860	605
587	861	603
588	862	601
589	863	599
590	864	598
591	865	596
592	866	594
593	867	592
594	868	591
595	869	589
596	870	587
597	871	585
598	872	583
599	873	582
600	874	580
601	874	578
602	875	576
603	876	574
604	878	573
605	879	571
606	880	569
607	881	568
608	882	566
609	883	565
610	884	563
611	886	561
612	887	560
613	888	558
614	889	556
615	890	555
616	891	553
617	892	551
618	893	550
619	894	548
620	895	546
621	896	544
622	897	543
623	898	541
624	899	539
625	900	538
626	901	536
627	902	534
628	903	533
629	904	531
630	905	529
631	906	527
632	907	526
633	908	524
634	909	522
635	910	521
636	911	519
637	912	517
638	913	516
639	914	514
640	916	513
641	917	511
642	918	509
643	919	508
644	920	506
645	922	505
646	923	503
647	924	502
648	925	500
649	927	499
650	928	497
651	929	495
652	930	494
653	931	492
654	932	491
655	934	489
656	935	488
657	936	486
658	938	485
659	939	483
660	940	482
661	941	480
662	942	479
663	943	477
664	945	476
665	946	474
666	947	473
667	948	471
668	950	470
669	952	469
670	954	467
671	955	466
672	957	465
673	958	463
674	959	462
675	960	460
676	962	459
677	963	457
678	964	456
679	966	454
680	967	453
681	969	451
682	970	450
683	971	448
684	972	447
685	974	445
686	975	444
687	976	442
688	977	441
689	979	439
690	980	438
691	981	436
692	982	435
693	983	433
694	985	432
695	986	430
696	987	429
697	988	427
698	989	426
699	991	424
700	992	423
701	993	421
702	996	421
703	998	419
704	999	418
705	1001	417
706	1003	415
707	1004	414
708	1006	412
709	1007	411
710	1009	410
711	1010	408
712	1012	407
713	1013	405
714	1014	404
715	1016	403
716	1017	401
717	1018	400
718	1019	398
719	1021	397
720	1022	395
721	1025	394
722	1026	393
723	1028	391
724	1029	390
725	1030	388
726	1031	387
727	1032	385
728	1033	384
729	1034	382
730	1035	381
731	1037	379
732	1038	378
733	1039	376
734	1040	375
735	1041	373
736	1042	372
737	1043	370
738	1044	368
739	1045	367
740	1046	365
741	1047	364
742	1048	362
743	1049	361
744	1050	359
745	1051	358
746	1052	356
747	1053	355
748	1054	353
749	1055	351
750	1056	350
751	1057	348
752	1058	347
753	1059	345
754	1060	344
755	1061	342
756	1062	340
757	1063	339
758	1064	337
759	1065	336
760	1066	334
761	1067	333
762	1068	331
763	1069	330
764	1070	328
765	1070	327
766	1071	325
767	1072	324
768	1073	322
769	1074	321
770	1075	319
771	1076	317
772	1077	316
773	1078	314
774	1079	313
775	1080	311
776	1081	310
777	1082	308
778	1083	307
779	1084	305
780	1085	304
781	1086	302
782	1087	301
783	1088	299
784	1089	298
785	1090	296
786	1090	295
787	1091	293
788	1092	292
789	1093	290
790	1094	289
791	1095	287
792	1096	286
793	1097	284
794	1098	283
795	1099	281
796	1100	280
797	1101	278
798	1102	277
799	1103	275
800	1104	274
801	1105	272
802	1106	271
803	1107	270
804	1108	268
805	1109	267
806	1110	265
807	1111	264
808	1112	262
809	1113	261
810	1114	259
811	1115	258
812	1116	256
813	1117	255
814	1118	253
815	1119	252
816	1120	250
817	1121	249
818	1122	248
819	1123	246
820	1124	245
821	1125	243
822	1126	242
823	1127	240
824	1128	239
825	1129	237
826	1130	236
827	1131	235
828	1132	233
829	1133	232
830	1134	230
831	1135	229
832	1136	227
833	1137	226
834	1138	225
835	1139	223
836	1140	222
837	1141	220
838	1142	219
839	1143	217
840	1145	216
841	1146	215
842	1147	213
843	1147	212
844	1148	210
845	1149	209
846	1150	207
847	1151	206
848	1152	204
849	1153	203
850	1154	202
851	1155	200
852	1156	199
853	1157	197
854	1158	196
855	1159	195
856	1160	193
857	1161	192
858	1162	190
859	1163	189
860	1164	187
861	1165	186
862	1166	185
863	1167	183
864	1168	182
865	1169	180
866	1171	179
867	1172	178
868	1174	176
869	1175	175
870	1175	174
871	1176	172
872	1178	171
873	1179	169
874	1179	168
875	1180	167
876	1181	165
877	1182	164
878	1183	162
879	1184	161
880	1185	160
881	1186	158
882	1187	157
883	1188	155
884	1189	154
885	1190	153
886	1191	151
887	1192	150
888	1193	148
889	1194	147
890	1195	146
891	1196	144
892	1197	143
893	1198	142
894	1199	140
895	1199	139
896	1200	137
897	1201	136
898	1202	135
899	1203	133
900	1204	132
901	1205	130
902	1206	129
903	1207	128
904	1208	126
905	1209	125
906	1210	124
907	1211	122
908	1212	121
909	1213	119
910	1214	118
911	1215	117
912	1216	115
913	1217	114
914	1218	113
915	1219	111
916	1220	110
917	1220	109
918	1221	107
919	1222	106
920	1223	104
921	1224	103
922	1225	102
923	1226	100
924	1227	99
925	1228	98
926	1230	96
927	1231	95
928	1232	94
929	1233	92
930	1234	91
931	1235	90
932	1236	88
933	1237	87
934	1237	86
935	1239	84
936	1239	83
937	1240	82
938	1241	80
939	1242	79
940	1243	77
941	1244	76
942	1245	75
943	1246	73
944	1247	72
945	1248	71
946	1249	69
947	1250	68
948	1251	67
949	1252	65
950	1253	64
951	1254	63
952	1255	61
953	1256	60
954	1257	59
955	1258	57
956	1259	56
957	1260	55
958	1260	53
959	1261	52
960	1263	51
961	1263	49
962	1264	48
963	1265	47
964	1266	45
965	1267	44
966	1268	43
967	1269	41
968	1270	40
969	1271	39
970	1272	38
971	1273	36
972	1274	35
973	1275	34
974	1276	32
975	1277	31
976	1278	30
977	1279	28
978	1280	27
979	1281	26
980	1282	24
981	1283	23
982	1284	22
983	1285	20
984	1286	19
985	1287	18
986	1288	16
987	1290	15
988	1291	14
989	1292	13
990	1293	11
991	1294	10
992	1295	9
993	1296	7
994	1297	6
995	1298	5
996	1299	3
997	1300	2
998	1301	1
999	1302	0
